original_name,stop_id,location,new_name
Bus Terminal,95624646,Livingston,Livingston Bus Terminal
Bus Terminal,95624649,Livingston,Livingston Bus Terminal
Bus Terminal,95624652,Livingston,Livingston Bus Terminal
Bus Terminal,95624653,Livingston,Livingston Bus Terminal
Bus Terminal,95624647,Livingston,Livingston Bus Terminal
Bus Terminal,95624654,Livingston,Livingston Bus Terminal
Bus Terminal,95624648,Livingston,Livingston Bus Terminal
Cemetery,95623939,Uphall,Uphall Cemetery
Cemetery,95623938,Uphall,Uphall Cemetery
Cemetery,95625323,Mid Calder,Mid Calder Cemetery
Cemetery,95625324,Mid Calder,Mid Calder Cemetery
Cemetery,95625498,Burngrange,Burngrange Cemetery
Craigmillar Castle Road,36234547,Pfeffermill Road,Craigmillar Castle Road - Pfeffermill Road
Craigmillar Castle Road,36235262,Old Dalkeith Road,Craigmillar Castle Road - Old Dalkeith Road
Craigmillar Castle Road,36234594,Pfeffermill Road,Craigmillar Castle Road - Pfeffermill Road
Craigmillar Castle Road,36235452,Old Dalkeith Road,Craigmillar Castle Road - Old Dalkeith Road
Craigmillar Castle Road,36234534,Pfeffermill Road,Craigmillar Castle Road - Pfeffermill Road
Fire Station,58232742,Tranent,Tranent Fire Station
Fire Station,58232739,Tranent,Tranent Fire Station
Fire Station,95623696,Bathgate,Bathgate Fire Station
Fire Station,95623697,Bathgate,Bathgate Fire Station
Fire Station,95624754,Craigshill,Craigshill Fire Station
Fire Station,95624756,Craigshill,Craigshill Fire Station
Golf Club,64323843,Lothianburn,Lothianburn Golf Club
Golf Club,64323938,Glencorse,Glencorse Golf Club
Golf Club,64323939,Glencorse,Glencorse Golf Club
Golf Club,95625479,Uphall,Uphall Golf Club
Golf Club,95625482,Uphall,Uphall Golf Club
High Street,58232864,Musselburgh,Musselburgh High Street
High Street,58232757,Musselburgh,Musselburgh High Street
High Street,58232876,Tranent,Tranent High Street
High Street,58232897,Tranent,Tranent High Street
High Street,58232986,Haddingron,Haddingron High Street
High Street,58234585,Dunbar,Dunbar High Street
High Street,58234625,Dunbar,Dunbar High Street
High Street,5820557,Musselburgh,Musselburgh High Street
High Street,5820558,Musselburgh,Musselburgh High Street
High Street,64323278,Bonnyrigg,Bonnyrigg High Street
Library,95623793,Blackburn,Blackburn Library
Library,95623792,Blackburn,Blackburn Library
Library,95624345,East Calder,East Calder Library
Library,95624347,Fauldhouse,Fauldhouse Library
Park Road,58232398,Port Seton,Port Seton Park Road
Park Road,58232397,Port Seton,Port Seton Park Road
Park Road,64323989,Newtongrange,Newtongrange Park Road
Park Road,64323292,Bonnyrigg,Bonnyrigg Park Road
Park Road,64323293,Bonnyrigg,Bonnyrigg Park Road
Park Road,64324232,Newtongrange,Newtongrange Park Road
Post Office,58232568,, Post Office
Post Office,58232569,, Post Office
Post Office,95623862,Blackridge,Blackridge Post Office
Post Office,95623857,Blackridge,Blackridge Post Office
Post Office,95623898,Broxburn,Broxburn Post Office
Post Office,95624232,Broxburn,Broxburn Post Office
Post Office,95625234,Longlea,Longlea Post Office
Post Office,95624986,Longlea,Longlea Post Office
Post Office,95625396,Stoneyburn,Stoneyburn Post Office
Post Office,95625387,Stoneyburn,Stoneyburn Post Office
Post Office,95625693,Wilkieston,Wilkieston Post Office
Post Office,95625692,Wilkieston,Wilkieston Post Office
Primary School,36238235,Dalmeny,Dalmeny Primary School
Primary School,95623278,Addiewell,Addiewell Primary School
Primary School,95623264,Addiewell,Addiewell Primary School
Primary School,95624273,Dechmont,Dechmont Primary School
Primary School,95624275,Dechmont,Dechmont Primary School
Primary School,95623238,Dedridge,Dedridge Primary School
Primary School,95623243,Dedridge,Dedridge Primary School
Primary School,95625395,Stoneyburn,Stoneyburn Primary School
Primary School,95625394,Stoneyburn,Stoneyburn Primary School
Primary School,95625385,Seafield,Seafield Primary School
Primary School,95625383,Seafield,Seafield Primary School
Primary School,95625464,Uphall,Uphall Primary School
Primary School,95625468,Uphall,Uphall Primary School
Railway Station,36236926,Dalmeny,Dalmeny Railway Station
Railway Station,36236925,Dalmeny,Dalmeny Railway Station
Railway Station,58232469,Wallyford,Wallyford Railway Station
Railway Station,58232468,Wallyford,Wallyford Railway Station
Railway Station,58232438,Londniddry,Londniddry Railway Station
Railway Station,58232439,Longniddry,Longniddry Railway Station
Railway Station,58234529,North Berwick,North Berwick Railway Station
Railway Station,58232564,Drem,Drem Railway Station
Railway Station,58234757,Drem,Drem Railway Station
Railway Station,58234652,Dunbar,Dunbar Railway Station
Railway Station,58234653,Dunbar,Dunbar Railway Station
Railway Station,95623752,Bathgate,Bathgate Railway Station
Railway Station,95624363,Fauldhouse,Fauldhouse Railway Station
Railway Station,95624528,Kirknewton,Kirknewton Railway Station
Railway Station,95626532,Kirknewton,Kirknewton Railway Station
Railway Station,95624765,Livingston North,Livingston North Railway Station
Railway Station,95624758,Livingston North,Livingston North Railway Station
Railway Station,95625467,Uphall,Uphall Railway Station
Railway Station,95625472,Uphall,Uphall Railway Station
Scotmid,95624289,East Calder,East Calder Scotmid
Scotmid,95624287,East Calder,East Calder Scotmid
Scotmid,95625437,Uphall,Uphall Scotmid
Station Road,36232396,Ratho Station,Station Road - Ratho Station
Station Road,36238768,Corstorphine,Corstorphine Station Road
Station Road,36236726,Ratho Station,Station Road - Ratho Station
Station Road,58232629,Dirleton,Dirleton Station Road
Station Road,58232628,Dirleton,Dirleton Station Road
Station Road,64324235,Newtongrange,Newtongrange Station Road
Station Road,64323829,Loanhead,Loanhead Station Road
Station Road,64323649,Eskbank,Eskbank Station Road
Station Road,64324545,Roslin,Roslin Station Road
Station Road,64324546,Roslin,Roslin Station Road
Station Road,64324236,Newtongrange,Newtongrange Station Road
Station Road,95623279,Addiewell,Addiewell Station Road
Station Road,95623276,Addiewell,Addiewell Station Road
Terminus,58232476,Wallyford,Wallyford Terminus
Terminus,64324287,Deanburn,Deanburn Terminus
Terminus,64324528,Rosewell,Rosewell Terminus
Terminus,64323259,Birkenside (Gorebridge) ,Birkenside (Gorebridge)  Terminus
Tesco,58234834,North Berwick,North Berwick Tesco
Tesco,64324572,Eskbank,Eskbank Tesco
Tesco,95623647,Bathgate,Bathgate Tesco
Tesco,95623524,Bathgate,Bathgate Tesco
Town Centre,64324373,Penicuik,Penicuik Town Centre
Town Centre,64329264,Penicuik,Penicuik Town Centre
Town Centre,64324374,Penicuik,Penicuik Town Centre
Turning Circle,95623848,Blackridge,Blackridge Turning Circle
Turning Circle,95623765,Bents,Bents Turning Circle
Turning Circle,95623767,Bents,Bents Turning Circle
Turning Circle,95624987,Addiewell,Addiewell Turning Circle
Turning Circle,95625375,Pumpherston,Pumpherston Turning Circle
Edinburgh Airport (Edinburgh Trams),36290101,,Airport
Balgreen (Edinburgh Trams),36290104,,Balgreen Tram Stop
Balgreen (Edinburgh Trams),36290105,,Balgreen Tram Stop
Bankhead (Edinburgh Trams),36290107,,Bankhead
Bankhead (Edinburgh Trams),36290108,,Bankhead
Edinburgh Gateway (Edinburgh Trams),36290110,,Edinburgh Gateway
Edinburgh Gateway (Edinburgh Trams),36290111,,Edinburgh Gateway
Gogarburn (Edinburgh Trams),36290113,,Gogarburn
Gogarburn (Edinburgh Trams),36290114,,Gogarburn
Gyle Centre (Edinburgh Trams),36290116,,Gyle Centre
Gyle Centre (Edinburgh Trams),36290117,,Gyle Centre
Haymarket (Edinburgh Trams),36290119,,Haymarket Station
Haymarket (Edinburgh Trams),36290120,,Haymarket Station
Ingliston Park & Ride (Edinburgh Trams),36290122,,Ingliston Park & Ride
Ingliston Park & Ride (Edinburgh Trams),36290123,,Ingliston Park & Ride
Murrayfield Stadium (Edinburgh Trams),36290125,,Murrayfield Stadium
Murrayfield Stadium (Edinburgh Trams),36290126,,Murrayfield Stadium
Edinburgh Park Central (Edinburgh Trams),36290128,,Edinburgh Park Central
Edinburgh Park Central (Edinburgh Trams),36290129,,Edinburgh Park Central
Edinburgh Park Station (Edinburgh Trams),36290131,,Edinburgh Park Station
